UID,Sender,ConversationHistory,PhishingScore,Explanation
1,Google Community Team <googlecommunityteam-noreply@google.com>,"

Hi Email,

Welcome to Google. Your new account comes with access to Google products,  
apps, and services.

Here are a few tips to get you started.


Get the most out of your Google Account

We'll send you personalized tips, news and recommendations from Google.

Yes, keep me updated  
<https://notifications.google.com/g/p/ANiao5rCCliD4g596MEOm3AdnrdI2Q7Qt8BGRrmtWTDggHrFi7nai-39OcBWHzZdWxoxArN6zzA_cjxUUN3oPZk_6rMdZQd2iDb7uG0Xum27gLbav-IjlUYDu3aPpFtLC73n0ri4VNVIHuJql_MccDl7lKA447PVHx16vmLR3m3nHuTU5ipoZY1HJoNOg6MvlLS9iDkgCu6uA5LIOEKz03Rq-wJyXXnQAVMNQjorOakPpHxJ1GEjLoxe3p9X405b9p78TR1EQCEHMTFLRgzzbSBFf7wavGIRgT0hsqVjbu7r4AmYLYxqIZNEfP_oEXo60FE7Pw1U54H8za7dVb-SyVZlxDZ1pmu_6CGrj52iHalvEP5fMPbWDLggHq0XMRscIQWFu4VTIuMnDXSuvbBpvShV_bfRj2wTwwfw5HW83CVBKeVYYftxFo-sbapB08y7fyq5pT5G0fJKXpF5081icidhur1bamsgJ0sFK7xZZYHPFyPZ0ocfi-J3eBG97Rq1JBfnRJmhKQ63_koInAjFIeucSWlaqUc_T0-Xu3RCLjAIWy2fDPCicc2AsauzbM3YrAMBeQWCXXrD7zRoJSKnGiZVxfs8qpHrUhQFHP_twA545u5Cv7TJ3CVk_jkPBaWuc8k>

Stay in the know with the Google app

Find quick answers, explore your interests, and stay up to date.

Try it  
<https://notifications.google.com/g/p/ANiao5ppno22TgO2iF-0cHFErLllvHdLqMCpRaYDQKsE29rpzYF1cZkCjkEQYVTdsd4NbnWgwPKDbF2OphN3EEq3V3JBePlPS3fmWHK4UcNLUwW68elZUXkuF6xLnTCuvq49KhXO2fCmgQMHMeC0M_vShdOO9-eNAx_Jpv-LybDTgNflINj-bTNI8aXaEzsnkJh3S5fn3cWt8XUJtEDrHOHNxX4TG_Fi06bvvXu4Dytqyi_ySLV-t9vHNpv2aQXhpke2wacZvuwanH3rzEJzuUbYqb9msAiyYxo2lf6_6nRnTqxUuvqwtCSTPWVhWF8qYkAJJB90d3nZBqJjYQnw56JjOGuVMpxhXS2Cw3QlQH8ml9eeQo4rjVJriJ5P95o>

More from Google

Discover the latest apps from Google.

For Android  
<https://notifications.google.com/g/p/ANiao5oMrykjugZmv7C6tWKKxhE7umCX_Kz5021Sh0Vef2EmKBDXLrGnD8oauXr07qiBfwI48YoNKqRYmOdnc_gM6z0mTjBNnM-rF--zAIc3dniUXMJDqdM3EQkeh-Dm0lFmV_jLCjHt4Tn_kcH8CdWBOQhOD1yOspgZ5CL5TMkC7Efo4JcNrjLPpEWOfv01FVu6CKIwimHGki5iD8Qf6iX2fPTkHyLGW_XPo0gMeIUQd8Busc1961LlYdzhgVS40MellHtI0q1GG5Cq4FlQ7UQvlI7IwrT2IIoQe_9Q5TdMrjtJ6nIIXZ7KadTxJn5SMxF-vTcpNIKulKg9vN-fiJGenUWKhJOWZhxh3VVXWPTMez53yXZ2Aq743hiIERM7AjxmzEIRH-9ne0sCQyv8jFMoWjyEVGy_O1i2GQowDnlf0NOGgb_sdFCRjkgQNuc3SvN53zl6nwF3EUBXNRI4cKDJCVaknbvQwMq6hjIuHUJniKkHlEDqFSSoAwsBknXZFIG-egNNV0k8Z_1-EGsIrlUoib4VS70Gx51mJvNTIiszkk29supgsC9e_nNHud5l_xC35sGOm7CKPN1QeJqnDgNYQ97XMBR6BoiFqPNbwf9X3eiSzT4P2XLV-sgR5QyH_v5dEuimInGoGIxP-IYgmDTCNeXFNMZ3>

For iOS  
<https://notifications.google.com/g/p/ANiao5puqbNici8NysGo9tPYup6atdgEfWfPu8qcYjUbZeMo97SZyZsnFOCKqGRqgU_AD2PmI8UvprnMWj3KAyoOsUrQzPjXTpS-STZxh2w93q9IZ7BDhBP3Mh-IM0ksYHnPv3v99faF_je6q-9U9ou5__XxhUzNWdyueMbr2iMWo3t7_hJmLgha2SFPHA3JZbnj18OF6kfb0eE3hUD6kbHWvchMfowSTTsaKuYFgfvT-YUz77ukA78f90Y6_Df3Te3dBJoI_Nf3W8cMEIhWdLVzyJ9zM1Jm-ursuXFx6GmsESyt8N8kSWCZFGVj2mRTvD1NHaxHlGl-2KAUErHzbxmexaim9aIvxwZCfMFG-QnGd08JgXpWqb_8NOkU5_EPzx0_VyNGpm0eY3o-D7Q>

Confirm your options are right for you

Review and change your privacy and security options to make Google work  
better for you.

Confirm  
<https://notifications.google.com/g/p/ANiao5oqDb-UnD2QeMSkj1XffuDY8Q-fCVK6MK01of_KNLKm_8ToGqqmkHwPK-q3WBgECnXbrttT_4KrZ0MOVcLkN8lwlZRd1geTIyQGdrpAnc00_0T4fRfw2X8bpXc8CtUD_hSmaJEa5BADnkhC4bRyA9StrMJ6RqDXjFuRDjCxpfuJ33I6pNk079EmZkWIlnaZuvYSCA9eKODH7AaRNEkoev58XzG5KSrIoCc5NFXw_2EoD4woPMsHl1BzXi1jH0pFwEviaqOqWPQGgivmkF9diPIC1EWovP5xF9ifrllHnesdLtcsux9KHa01HKeNEFwPGa8soDfYDKep364jUIpZQw>

Find answers

Visit the Help Center  
<https://notifications.google.com/g/p/ANiao5pelCml4UogNgEKAFch8HC04gxDDwdqmFViiZsL70rjQYeL8VmM-eXnREHn3_vOAnQs03yZpn_rLUq4_eA7jWaGuJnA6AUpJ96xlur2Zd0HG8JXGp5pGKyuemmxgQCFKAvOrLh0dWJ6e4I4bPPxhrHuARcohS-SSrJ215YyZA72uj4iVaCxNlceroUp8cAepjo_j8T-K9VjFBgHxj2sFa_TnGTj18mbGKcd-VH2L3AQ5yzRnJrEKJhKv6xsu1MTiVHbx6vgIeeYT34mPDfAH4LHeVa0PhyPc0yOPdIMscstkmdFYw>  
to learn all about your new Google Account.


Replies to this email aren't monitored. If you have a question about your  
new account, the Help Center  
<https://notifications.google.com/g/p/ANiao5oNXVn56WWpSksjUNj63ofwxdBOtmmpcDbH662tN2lHO_25as_c13EyTSXJpM9kjMp0zOGAgCVg6MkUAMV0OfpIcZlUIZqgB8fTtTigiMUwoBtMVbKoBRik5z4OHkY79Bn_iHZR5rKmX9hqy3WsxGEsdoKIlPUvr_5R93yacJSjojyTtC0zAW9PStz0gWEk9n0KMag7WQuRodPpUKuQR9_39mtZ6kOCKpKj5n1HkQSb_jwIJcWsyseVe04NujBNYAW8EYZjlcokhiuxBEz6lTpEZtZLvDAVD162856EprRMk1zt_hdHrdcEwg>  
likely has the answer you're looking for.



Google LLC 1600 Amphitheatre Parkway, Mountain View, CA 94043

This email was sent to you because you created a Google Account.
",0.75,"This email is more likely to be phishing as it includes a suspicious amount of external links and prompts. It also requests personal information and does not provide a direct way to contact a representative for help. Additionally, the sender's email address is not an official Google email address, which may indicate the email is not from a legitimate source."
2,Google <no-reply@accounts.google.com>,"[image: Google]
Your password was changed


emailautomation13@gmail.com
The password for your Google account emailautomation13@gmail.com was
changed. If you didn't change it, you should recover your account
<https://accounts.google.com/RecoverAccount?fpOnly=1&source=ancp&Email=emailautomation13@gmail.com&et=0>
.
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2024 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",0.8,"Based on the sender's email being 'no-reply@accounts.google.com' and the warning of a password change, there is a high likelihood that this email is phishing for personal information or account access. However, the presence of legitimate links to account recovery and security activity, as well as the standard copyright message from Google, suggests a slightly lower possibility of phishing. It is recommended to proceed with caution and verify the email's legitimacy before taking any actions."
4,Google <no-reply@accounts.google.com>,"[image: Google]
2-Step Verification turned on


emailautomation13@gmail.com

Your Google Account emailautomation13@gmail.com is now protected with
2-Step Verification. When you sign in on a new or untrusted device, you’ll
need your second factor to verify your identity.

*Don't get locked out!*
You can add a backup phone or get backup codes to use when you don’t have
your second factor with you.
You can review your 2SV settings
<https://accounts.google.com/AccountChooser?Email=emailautomation13@gmail.com&continue=https://myaccount.google.com/signinoptions/two-step-verification?rfn%3D16%26rfnc%3D1%26eid%3D7522348653397816226%26et%3D0>
to make changes.
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2024 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",0.75,"This email could potentially be a phishing attempt, as it contains a suspicious link and encourages the recipient to add a backup phone or get backup codes. Additionally, the sender's email address does not match the expected sender 'Google'. However, the presence of the Google LLC address and copyright information may lower the likelihood of phishing. It is recommended to be cautious and verify the authenticity of this email before taking any actions."
5,Google <no-reply@accounts.google.com>,"[image: Google]
App password created to sign in to your account


emailautomation13@gmail.com
If you didn't generate this password for Email automation, someone might be
using your account. Check and secure your account now.
Check activity
<https://accounts.google.com/AccountChooser?Email=emailautomation13@gmail.com&continue=https://myaccount.google.com/alert/nt/1710925803060?rfn%3D20%26rfnc%3D1%26eid%3D-8297499849361925804%26et%3D0>
You can also see security activity at
https://myaccount.google.com/notifications
You received this email to let you know about important changes to your
Google Account and services.
© 2024 Google LLC, 1600 Amphitheatre Parkway, Mountain View, CA 94043, USA
",0.95,"This email has a high likelihood of being phishing because the sender's email address is not an official Google email address and the content of the email is attempting to scare the recipient into clicking on a suspicious link. The email also uses urgency and a sense of urgency to create a sense of panic and make it seem like the recipient's account is compromised. Additionally, the email contains poor grammar and formatting, which are common traits of phishing emails. It is important to be cautious and not click on any links in this email."
8,sai garikapati <saigarikapati1@gmail.com>,"Hi I would Iike to book a appointment for saloon
",0.75,"The email is likely phishing because the sender's email address does not match the business name and the request to book an appointment for a salon could be a ploy to get personal information. Additionally, the tone of the email is suspicious and lacks proper punctuation and grammar."
15,j <j@jekk.com>,"Sup?
",0.0,Failed to parse response.
16,James <oic@me.com>,"I cam for my appointment last week and since then all my hair has fallen out, ive kept in a small green plastic bag submerged in peroxide, can you glue it back in strand by strand please? Also how much for the trim and how much weight will I loose?",0.85,"The sender's email appears to be suspicious as the email address does not match the name 'James'. Additionally, the conversation content is unusual and seems to be requesting for personal details, indicating potential phishing activity."
17,James <oic@me.com>,"Yes what is the average price of apples. Also can I get some more of that stuff? And please make my appointment for 13am on the 31 of February 

> On Mar 22, 2024, at 8:36 PM, emailautomation13@gmail.com wrote:
> 
> Hi James,
> I'm sorry to hear about your recent salon experience. As an AI assistant, I am not able to physically assist with your hair restoration request. I recommend reaching out to the salon directly to address your concerns and to discuss any potential reimbursement for your appointment. Also, the cost and amount of weight lost during a trim varies depending on the length and thickness of your hair. It would be best to discuss this with your stylist during your appointment. Is there anything else I can assist you with?

",0.9,"The likelihood of this email being phishing is high (90/100). The email contains suspicious language, such as requesting opening times and prices for unrelated products (apples) and asking for personal information (appointment details) in a non-professional manner. Additionally, the email is sent from a generic email address, which is often associated with phishing attempts. As a result, caution should be exercised before responding or taking any action."
18,Jekk Grace <jekkleegrace@gmail.com>,"when do you have time for the scalping special ?
",0.9,"The use of urgency and a limited time offer in the email suggest that it may be phishing. Furthermore, the sender's email address is not a professional or recognizable one, increasing the likelihood of it being a phishing attempt."
19,Jekk Grace <jekkleegrace@gmail.com>,"how long does it take and can i get the labia fibroblast at the same time?

On Sun, Mar 24, 2024 at 11:10 PM <emailautomation13@gmail.com> wrote:

> Hello Jekk Grace, thank you for your message regarding the salon
> appointment.
>
> I am happy to assist you with booking the scalp treatment special. Our
> salon has availability for the scalp treatment tomorrow at 2pm and also
> next week on Wednesday at 10am. Which date and time would you prefer?
>
> Please let me know and I will confirm the appointment for you. Looking
> forward to hearing back from you. Have a great day!
>
> Best regards,
>
> [Your Name]
> AI Salon Assistant
",0.9,"Based on the subject line, content, and mismatch between the sender's email and name, there is a high likelihood that this email is phishing. The email claims to be from a salon assistant, yet the sender's email does not match the salon's domain. The request for a 'labia fibroblast' treatment is also suspicious and not related to any usual salon services. Additionally, the email is unsolicited and prompts the recipient to respond, potentially luring them into sharing personal information or booking an appointment with a fake salon. It is recommended to not respond to this email and mark it as spam."
